x,y
1653,129
1654,129
1655,133
1656,135
1657,135
1658,135
1659,135
1660,161
1661,138
1662,136
1663,134
1664,135
1665,131
1666,129
1667,135
1668,162
1669,162
1670,162
1671,135
1672,162
1673,138
1674,137
1675,134
1676,134
1677,135
1678,134
1679,107
1680,162
1681,162
1682,162
1683,162
1684,162
1685,134
1686,128
1687,129
1688,128
1689,129
1690,131
1691,130
1692,107
1693,106
1694,107
1695,134
1696,134
1697,134
1698,130
1699,133
1700,133
1701,132
1702,129
1703,130
1704,162
1705,163
1706,165
1707,220
1708,220
1709,220
1710,219
1711,165
1712,165
1713,165
1714,165
1715,162
1716,161
1717,161
1718,161
1719,123
1720,128
1721,130
1722,130
1723,131
1724,135
1725,164
1726,164
1727,164
1728,164
1729,163
1730,161
1731,130
1732,128
1733,128
1734,128
1735,127
1736,128
1737,134
1738,163
1739,163
1740,163
1741,163
1742,163
1743,106
1744,131
1745,133
1746,133
1747,133
1748,133
1749,129
1750,106
1751,107
1752,107
1753,107
1754,107
1755,107
1756,128
1757,131
1758,134
1759,132
1760,132
1761,129
1762,105
1763,106
1764,162
1767,227
1768,226
1769,224
1770,222
1771,222
1772,222
1773,219
1774,163
1775,161
1776,135
1777,135
1778,135
1779,130
1780,130
1781,130
1782,130
1783,129
1784,106
1785,106
1786,106
1787,106
1788,107
1789,107
1790,129
1791,133
1792,134
1793,133
1794,134
1795,138
1796,161
1797,161
1798,161
1799,161
1800,135
1801,161
1802,131
1803,134
1804,128
1805,128
1806,129
1807,130
1808,107
1809,162
1810,162
1811,162
1812,162
1813,162
1814,135
1815,138
1816,134
1817,133
1818,134
1819,131
1820,129
1821,135
1822,164
1823,164
1824,164
1825,164
1826,164
1827,164
1828,164
1829,163
1830,162
1831,163
1832,162
1833,161
1834,161
1835,107
1836,107
1837,107
1838,107
1839,135
1840,138
1841,137
1842,137
1843,137
1844,138
1845,107
1846,107
1847,107
1848,107
1849,107
1850,129
1851,130
1852,131
1853,131
1854,130
1855,128
1856,107
1857,107
1858,107
1859,107
1860,107
1861,128
1862,133
1863,137
1864,137
1865,137
1866,138
1867,107
1868,161
1869,161
1870,161
1871,108
1872,135
1873,128
1874,131
1875,137
1876,137
1877,137
1878,139
1879,135
1880,135
1881,135
1882,135
1883,135
1884,135
1885,135
1886,161
1887,106
1888,104
1889,106
1890,162
1891,162
1892,162
1893,162
1894,162
1895,162
1896,135
1897,162
1898,130
1899,133
1900,134
1901,134
1902,132
1903,130
1904,135
1905,108
1906,162
1907,162
1908,162
1909,162
1910,139
1911,137
1912,136
1913,136
1914,137
1915,138
1916,135
1917,135
1918,135
1919,135
1920,135
1921,129
1922,130
1923,133
1924,133
1925,133
1926,131
1927,128
1928,107
1929,107
1930,107
1931,107
1932,107
1933,130
1934,131
1935,130
1936,129
1937,129
1938,105
1939,161
1940,161
1941,161
1942,108
1943,160
1944,161
1945,161
1946,66
1947,66
1948,65
1953,164
1954,161
1955,108
1956,129
1957,137
1958,137
1959,136
1960,137
1961,138
1962,106
1963,161
1964,135
1965,135
1966,135
1967,135
1968,105
1969,137
1970,135
1971,134
1972,135
1973,137
1974,138
1975,135
1976,108
1977,162
1978,162
1979,162
1980,162
1981,138
1982,136
1983,137
1984,136
1985,137
1986,139
1987,135
1988,135
1989,134
1990,107
1991,107
1992,106
1993,130
1994,131
1995,130
1996,131
1997,130
1998,107
1999,161
2000,161
2001,161
2002,161
2003,159
2004,151
2005,154
2006,154
2007,154
2008,149
2009,148
2010,163
2011,162
2012,162
2013,162
2014,162
2015,140
2016,139
2017,137
2018,137
2019,138
2020,138
2021,106
2022,106
2023,106
2024,106
2025,106
2026,106
2027,130
2028,135
2029,131
2030,131
2031,132
2032,130
2033,106
2034,161
2035,161
2036,161
2037,161
2038,161
2039,130
2040,130
2041,130
2042,128
2043,128
2044,135
2045,138
2046,108
2047,134
2048,105
2049,105
2050,105
2051,105
2052,128
2053,129
2054,130
2055,130
2056,131
2057,138
2058,108
2059,107
2060,108
2061,162
2062,163
2063,164
2064,164
2065,165
2066,178
2067,166
2068,165
2069,163
2070,161
2071,108
2072,108
2073,108
2074,108
2075,140
2076,138
2077,130
2078,131
2079,131
2080,134
2081,106
2082,106
2083,106
2084,106
2085,107
2086,139
2087,138
2088,135
2089,134
2090,136
2091,131
2092,106
2093,107
2094,107
2095,107
2096,107
2097,108
2098,138
2099,138
2100,135
2101,134
2102,135
2103,138
2104,108
2105,162
2106,162
2107,162
2108,162
2109,162
2110,107
2111,138
2112,136
2113,135
2114,136
2115,138
2116,107
2117,135
2118,135
2124,66
2125,67
2126,67
2127,122
2128,161
2129,160
2130,108
2131,161
2132,161
2133,161
2134,161
2135,130
2136,129
2137,130
2138,131
2139,130
2140,130
2141,135
2142,108
2143,108
2144,108
2145,108
2146,129
2147,130
2148,134
2149,134
2150,134
2151,134
2152,128
2153,128
2154,128
2155,128
2156,129
2157,130
2158,132
2159,131
2160,133
2161,133
2162,129
2163,162
2164,162
2165,162
2166,162
2167,162
2168,108
2169,139
2170,134
2171,133
